"Sec","Code","Course (hr, crd)","Description","Day","Time","Instructor","Location","Enrolled","Limit","Mode of Instruction",
"02","11701","ACCT 100 (3, 3)","FIN &amp; MGR ACCT","T, TH","4:30 PM - 5:45 PM","Milo, Michael","RA 219","19","25","In-Person",
"01","1406","ACCT 100 (3, 3)","FIN &amp; MGR ACCT","T, TH","10:50 AM - 12:05 PM","Milo, Michael","KY 419","32","22","In-Person",
"03","1408","ACCT 100 (3, 3)","FIN &amp; MGR ACCT","M, W","3:05 PM - 4:20 PM","Ho, Vivian","HH 17","17","25","In-Person",
"08","3376","ACCT 101 (4, 3)","INT TH &amp; PR ACCT 1","T, TH","8:10 PM - 9:50 PM","Fuld, Leonard","PH 116","38","50","In-Person",
"09","3378","ACCT 101 (4, 3)","INT TH &amp; PR ACCT 1","F","6:30 PM - 10:30 PM","Solarsh, Eva","PH 130","46","50","Hybrid",
"03","3343","ACCT 101 (4, 3)","INT TH &amp; PR ACCT 1","W, F","10:15 AM - 12:05 PM","Erlach, David","SB B141","50","50","In-Person",
"04","3348","ACCT 101 (4, 3)","INT TH &amp; PR ACCT 1","M, W","4:00 PM - 5:40 PM","Erlach, David","RO 230","100","100","In-Person",
"05","3353","ACCT 101 (4, 3)","INT TH &amp; PR ACCT 1","T, TH","12:40 PM - 2:30 PM","Feisullin, Anita","PH 012","44","45","In-Person",
"06","3370","ACCT 101 (4, 3)","INT TH &amp; PR ACCT 1","T, TH","10:15 AM - 12:05 PM","Solarsh, Eva","KY 236","30","30","In-Person",
"07","3372","ACCT 101 (4, 3)","INT TH &amp; PR ACCT 1","M, W","6:15 PM - 7:55 PM","Ruthizer, Scott","PH 110","56","55","In-Person",
"11","3384","ACCT 101 (4, 3)","INT TH &amp; PR ACCT 1","SU","8:00 AM - 12:00 PM","Mintz, Chana","PH 113","18","50","In-Person",
"01","3084","ACCT 101 (4, 3)","INT TH &amp; PR ACCT 1","M, W","8:15 AM - 10:05 AM","Dauber, Nicky","PH 130","60","60","In-Person",
"02","3087","ACCT 101 (4, 3)","INT TH &amp; PR ACCT 1","W, F","8:15 AM - 10:05 AM","Gruza, Marvin","KY 313","22","35","In-Person",
"10","3380","ACCT 101 (4, 3)","INT TH &amp; PR ACCT 1","S","8:00 AM - 12:00 PM","Rubin, Eliot","PH 116","42","50","In-Person",
"02","3390","ACCT 102 (4, 3)","INT TH &amp; PR ACCT 2","T, TH","10:15 AM - 12:05 PM","Feisullin, Anita","RA 201","40","40","In-Person",
