"Sec","Code","Course (hr, crd)","Description","Day","Time","Instructor","Location","Enrolled","Limit","Mode of Instruction",
"03","2908","ACCT 100 (3, 3)","FIN &amp; MGR ACCT","T, TH","10:50 AM - 12:05 PM","Milo, Michael","KY 412","31","25","In-Person",
"01","2909","ACCT 100 (3, 3)","FIN &amp; MGR ACCT","M, W","4:30 PM - 5:45 PM","Barker, Joel","HH 17","24","25","In-Person",
"02","2910","ACCT 100 (3, 3)","FIN &amp; MGR ACCT","M, W","3:05 PM - 4:20 PM","Barker, Joel","HH 17","26","25","In-Person",
"07","3938","ACCT 101 (4, 3)","INT TH &amp; PR 1","M, W","6:15 PM - 7:55 PM","Ruthizer, Scott","PH 110","54","55","In-Person",
"08","3976","ACCT 101 (4, 3)","INT TH &amp; PR 1","T, TH","8:10 PM - 9:50 PM","Dietz, George","RZ 174","40","40","In-Person",
"09","4035","ACCT 101 (4, 3)","INT TH &amp; PR 1","F","6:30 PM - 10:30 PM","Solarsh, Eva","PH 130","32","50","Hybrid",
"10","4042","ACCT 101 (4, 3)","INT TH &amp; PR 1","S","8:00 AM - 12:00 PM","Pilato, Biagio","PH 119","45","45","In-Person",
"06","3926","ACCT 101 (4, 3)","INT TH &amp; PR 1","T, TH","10:15 AM - 12:05 PM","Solarsh, Eva","KY 220","28","30","In-Person",
"03","3871","ACCT 101 (4, 3)","INT TH &amp; PR 1","W, F","10:15 AM - 12:05 PM","Erlach, David","SB D135","52","50","In-Person",
"04","3877","ACCT 101 (4, 3)","INT TH &amp; PR 1","M, W","4:00 PM - 5:40 PM","Erlach, David","RO 230","101","100","In-Person",
"05","3924","ACCT 101 (4, 3)","INT TH &amp; PR 1","T, TH","10:15 AM - 12:05 PM","Feisullin, Anita","RZ 174","38","38","In-Person",
"02","3870","ACCT 101 (4, 3)","INT TH &amp; PR 1","W, F","8:15 AM - 10:05 AM","Gruza, Marvin","RZ 174","34","38","In-Person",
"01","3866","ACCT 101 (4, 3)","INT TH &amp; PR 1","M, W","8:15 AM - 10:05 AM","Dauber, Nicky","PH 130","63","63","In-Person",
"07","5147","ACCT 102 (4, 3)","INT TH &amp; PR 2","F","6:30 PM - 10:30 PM","Benjamin, Ranjitkumar","PH 110","31","50","In-Person",
"08","5151","ACCT 102 (4, 3)","INT TH &amp; PR 2","S","8:00 AM - 12:00 PM","Fong, Nathan","PH 110","12","45","In-Person",
"09","5159","ACCT 102 (4, 3)","INT TH &amp; PR 2","SU","8:00 AM - 12:00 PM","Benjamin, Ranjitkumar","PH 112","26","50","In-Person",
"03","4335","ACCT 102 (4, 3)","INT TH &amp; PR 2","T, TH","8:15 AM - 10:05 AM","David, Amy","PH 110","55","55","In-Person",
"04","4339","ACCT 102 (4, 3)","INT TH &amp; PR 2","T, TH","1:40 PM - 3:30 PM","Feisullin, Anita","RZ 147","39","40","In-Person",
"01","4315","ACCT 102 (4, 3)","INT TH &amp; PR 2","W, F","10:15 AM - 12:05 PM","Gruza, Marvin","RZ 174","36","38","In-Person",
"06","5138","ACCT 102 (4, 3)","INT TH &amp; PR 2","T, TH","6:15 PM - 7:55 PM","Silverman, Arthur","KY 312","37","45","In-Person",
"05","4344","ACCT 102 (4, 3)","INT TH &amp; PR 2","M, W","8:10 PM - 9:50 PM","Ruthizer, Scott","PH 110","48","55","In-Person",
"02","4319","ACCT 102 (4, 3)","INT TH &amp; PR 2","M, W","1:40 PM - 3:30 PM","Erlach, David","RZ 174","38","38","In-Person",
"06","5196","ACCT 201 (4, 4)","INTER ACCT 1","SU","8:00 AM - 12:00 PM","Rubin, Eliot","RZ 312","49","50","In-Person",
"05","5192","ACCT 201 (4, 4)","INTER ACCT 1","T, TH","6:15 PM - 7:55 PM","Nussbaum, Stephen","PH 130","54","55","In-Person",
"04","5188","ACCT 201 (4, 4)","INTER ACCT 1","M, W","8:10 PM - 9:50 PM","Lahijani, Richard","PH 130","55","58","In-Person",
"03","5184","ACCT 201 (4, 4)","INTER ACCT 1","T, TH","4:00 PM - 5:40 PM","Levine, Marc","PH 130","56","60","In-Person",
"02","5180","ACCT 201 (4, 4)","INTER ACCT 1","T, TH","1:40 PM - 3:30 PM","Levine, Marc","PH 130","60","60","In-Person",
"01","5174","ACCT 201 (4, 4)","INTER ACCT 1","M, W","8:15 AM - 10:05 AM","Hornung, David","PH 110","54","55","In-Person",
"07","5244","ACCT 202 (3, 2)","INTER ACCT 2","M, W","8:10 PM - 9:25 PM","Kumar, Vijay","PH 112","53","55","In-Person",
"08","5245","ACCT 202 (3, 2)","INTER ACCT 2","SU","1:00 PM - 4:00 PM","Cohen, Michael","PH 110","39","55","In-Person",
"06","5229","ACCT 202 (3, 2)","INTER ACCT 2","M, W","6:30 PM - 7:45 PM","Rubin, Eliot","RZ 147","41","40","In-Person",
"05","5222","ACCT 202 (3, 2)","INTER ACCT 2","T, TH","10:50 AM - 12:05 PM","Weiss, Renee","RO 240","29","34","In-Person",
"04","5205","ACCT 202 (3, 2)","INTER ACCT 2","T, TH","9:25 AM - 10:40 AM","Weiss, Renee","RO 240","28","34","In-Person",
"03","5203","ACCT 202 (3, 2)","INTER ACCT 2","M, W","4:30 PM - 5:45 PM","Huang, Qianyun (Ivy)","PH 110","54","55","In-Person",
"02","5201","ACCT 202 (3, 2)","INTER ACCT 2","M, W","1:40 PM - 2:55 PM","Hornung, David","PH 110","53","55","In-Person",
"01","5199","ACCT 202 (3, 2)","INTER ACCT 2","M, W","10:50 AM - 12:05 PM","Hornung, David","PH 110","46","55","In-Person",
"01","5330","ACCT 261 (3, 3)","BUSINESS LAW I","M, W","1:40 PM - 2:55 PM","Leibowicz, Barry","PH 112","55","55","In-Person",
"02","5333","ACCT 261 (3, 3)","BUSINESS LAW I","M, W","3:05 PM - 4:20 PM","Leibowicz, Barry","PH 112","54","55","In-Person",
"03","5338","ACCT 261 (3, 3)","BUSINESS LAW I","W, F","8:00 AM - 9:15 AM","Mintz, Seymour","PH 012","32","40","In-Person",
"04","5340","ACCT 261 (3, 3)","BUSINESS LAW I","T, TH","3:05 PM - 4:20 PM","Milich, Marvin","PH 110","53","55","In-Person",
"05","5343","ACCT 261 (3, 3)","BUSINESS LAW I","T, TH","4:30 PM - 5:45 PM","Milich, Marvin","PH 110","48","55","In-Person",
"06","5347","ACCT 261 (3, 3)","BUSINESS LAW I","M, W","6:30 PM - 7:45 PM","Kirschner, David","PH 130","48","50","In-Person",
"08","5351","ACCT 261 (3, 3)","BUSINESS LAW I","SU","9:00 AM - 12:00 PM","Stein, Randy","PH 156","40","45","In-Person",
"07","5350","ACCT 261 (3, 3)","BUSINESS LAW I","F","6:30 PM - 9:30 PM","Seymore, Javier","PH 112","26","50","In-Person",
"07","5285","ACCT 305 (3, 2)","COST ACCOUNTING","&nbsp;"," - ","Qureshi, Anique"," ","19","40","Online",
"02","5256","ACCT 305 (3, 2)","COST ACCOUNTING","T, TH","12:15 PM - 1:30 PM","Milo, Michael","PH 110","50","55","In-Person",
