"Sec","Code","Course (hr, crd)","Description","Day","Time","Instructor","Location","Enrolled","Limit","Mode of Instruction",
"02","4442","ACCT 100 (3, 3)","FIN &amp; MGR ACCT","M, W","4:30 PM - 5:45 PM","Barker, Joel","HH 17","20","18","In-Person",
"01","4440","ACCT 100 (3, 3)","FIN &amp; MGR ACCT","T, TH","10:50 AM - 12:05 PM","Milo, Michael","KY 419","30","20","In-Person",
"03","4443","ACCT 100 (3, 3)","FIN &amp; MGR ACCT","M, W","3:05 PM - 4:20 PM","Barker, Joel","HH 17","27","20","In-Person",
"4","7137","ACCT 101 (4, 3)","INT TH &amp; PR 1","M, W","4:00 PM - 5:40 PM","Erlach, David","RO 230","101","100","In-Person",
"05","7141","ACCT 101 (4, 3)","INT TH &amp; PR 1","T, TH","10:15 AM - 12:05 PM","Feisullin, Anita","RZ 174","35","35","In-Person",
"6","7151","ACCT 101 (4, 3)","INT TH &amp; PR 1","T, TH","10:15 AM - 12:05 PM","Solarsh, Eva","KY 220","28","30","In-Person",
"7","7155","ACCT 101 (4, 3)","INT TH &amp; PR 1","M, W","6:15 PM - 7:55 PM","Ruthizer, Scott","PH 110","55","55","In-Person",
"08","7157","ACCT 101 (4, 3)","INT TH &amp; PR 1","T, TH","8:10 PM - 9:50 PM","Dietz, George","KY 417","35","35","In-Person",
"03","7135","ACCT 101 (4, 3)","INT TH &amp; PR 1","W, F","10:15 AM - 12:05 PM","Erlach, David","SB B141","47","48","In-Person",
"02","7128","ACCT 101 (4, 3)","INT TH &amp; PR 1","W, F","8:15 AM - 10:05 AM","Gruza, Marvin","RZ 174","30","35","In-Person",
"01","7122","ACCT 101 (4, 3)","INT TH &amp; PR 1","M, W","8:15 AM - 10:05 AM","Dauber, Nicky","PH 130","69","70","In-Person",
"09","7160","ACCT 101 (4, 3)","INT TH &amp; PR 1","F","6:30 PM - 10:10 PM","Solarsh, Eva","PH 130","42","50","Hybrid",
"10","7165","ACCT 101 (4, 3)","INT TH &amp; PR 1","S","8:20 AM - 12:00 PM","Pilato, Biagio","PH 116","50","50","In-Person",
"01","7176","ACCT 102 (4, 3)","INT TH &amp; PR 2","W, F","10:15 AM - 12:05 PM","Gruza, Marvin","RZ 174","35","35","In-Person",
"02","7221","ACCT 102 (4, 3)","INT TH &amp; PR 2","M, W","1:40 PM - 3:30 PM","Erlach, David","PH 116","52","50","In-Person",
"03","7225","ACCT 102 (4, 3)","INT TH &amp; PR 2","T, TH","12:40 PM - 2:30 PM","David, Amy","PH 116","55","55","In-Person",
"04","7226","ACCT 102 (4, 3)","INT TH &amp; PR 2","T, TH","1:40 PM - 3:30 PM","Feisullin, Anita","PH 012","43","45","In-Person",
"10","7252","ACCT 102 (4, 3)","INT TH &amp; PR 2","SU","8:20 AM - 12:00 PM","David, Amy","PH 106","10","50","Online",
"06","7234","ACCT 102 (4, 3)","INT TH &amp; PR 2","T, TH","6:15 PM - 7:55 PM","Silverman, Arthur","PH 154","48","50","In-Person",
"07","7239","ACCT 102 (4, 3)","INT TH &amp; PR 2","F","6:30 PM - 10:10 PM","Benjamin, Ranjitkumar","PH 110","34","50","In-Person",
"08","7243","ACCT 102 (4, 3)","INT TH &amp; PR 2","S","8:20 AM - 12:00 PM","Fong, Nathan","PH 110","23","50","In-Person",
"09","7247","ACCT 102 (4, 3)","INT TH &amp; PR 2","SU","8:20 AM - 12:00 PM","Benjamin, Ranjitkumar","PH 112","31","50","In-Person",
"05","7231","ACCT 102 (4, 3)","INT TH &amp; PR 2","M, W","8:10 PM - 9:50 PM","Ruthizer, Scott","PH 110","55","55","In-Person",
"04","7262","ACCT 201 (4, 4)","INTER ACCT 1","M, W","8:10 PM - 9:50 PM","Lahijani, Richard","PH 130","44","50","In-Person",
"03","7261","ACCT 201 (4, 4)","INTER ACCT 1","T, TH","4:00 PM - 5:40 PM","Levine, Marc","PH 130","53","55","In-Person",
"02","7257","ACCT 201 (4, 4)","INTER ACCT 1","T, TH","1:40 PM - 3:30 PM","Levine, Marc","PH 130","60","60","In-Person",
"01","7255","ACCT 201 (4, 4)","INTER ACCT 1","M, W","8:15 AM - 10:05 AM","Hornung, David","PH 110","56","55","In-Person",
"05","7268","ACCT 201 (4, 4)","INTER ACCT 1","T, TH","6:15 PM - 7:55 PM","Nussbaum, Stephen","PH 130","51","50","In-Person",
"06","7270","ACCT 201 (4, 4)","INTER ACCT 1","SU","8:20 AM - 12:00 PM","Rubin, Eliot","PH 114","47","45","In-Person",
"04","7280","ACCT 202 (3, 2)","INTER ACCT 2","F","8:00 AM - 10:50 AM","Weiss, Renee","PH 212","28","30","In-Person",
"03","7275","ACCT 202 (3, 2)","INTER ACCT 2","M, W","4:30 PM - 5:45 PM","Huang, Qianyun (Ivy)","PH 110","56","55","In-Person",
"02","7272","ACCT 202 (3, 2)","INTER ACCT 2","M, W","1:40 PM - 2:55 PM","Hornung, David","PH 110","54","55","In-Person",
"01","7271","ACCT 202 (3, 2)","INTER ACCT 2","M, W","10:50 AM - 12:05 PM","Hornung, David","PH 110","58","55","In-Person",
"05","7285","ACCT 202 (3, 2)","INTER ACCT 2","M, W","6:30 PM - 7:45 PM","Schwalb, Helen","RZ 174","33","35","In-Person",
"07","7318","ACCT 202 (3, 2)","INTER ACCT 2","SU","9:15 AM - 12:00 PM","Zapf, Michael","PH 157","43","45","In-Person",
"06","7287","ACCT 202 (3, 2)","INTER ACCT 2","M, W","8:10 PM - 9:25 PM","Kumar, Vijay","PH 112","54","55","In-Person",
"01","7578","ACCT 261 (3, 3)","BUSINESS LAW I","M, W","1:40 PM - 2:55 PM","Leibowicz, Barry","PH 112","54","55","In-Person",
"02","7581","ACCT 261 (3, 3)","BUSINESS LAW I","M, W","3:05 PM - 4:20 PM","Leibowicz, Barry","PH 112","54","55","In-Person",
"03","7588","ACCT 261 (3, 3)","BUSINESS LAW I","W, F","8:00 AM - 9:15 AM","Mintz, Seymour","PH 012","34","45","In-Person",
"04","7591","ACCT 261 (3, 3)","BUSINESS LAW I","T, TH","3:05 PM - 4:20 PM","Milich, Marvin","PH 110","31","50","In-Person",
"05","7597","ACCT 261 (3, 3)","BUSINESS LAW I","T, TH","4:30 PM - 5:45 PM","Milich, Marvin","PH 110","40","50","In-Person",
"07","7618","ACCT 261 (3, 3)","BUSINESS LAW I","F","6:30 PM - 9:15 PM","Seymore, Javier","PH 112","42","50","In-Person",
"06","7612","ACCT 261 (3, 3)","BUSINESS LAW I","M, W","6:30 PM - 7:45 PM","Kirschner, David","PH 130","34","50","In-Person",
"08","7632","ACCT 261 (3, 3)","BUSINESS LAW I","SU","9:15 AM - 12:00 PM","Stein, Randy","PH 116","49","50","In-Person",
"02","7326","ACCT 305 (3, 2)","COST ACCOUNTING","T, TH","12:15 PM - 1:30 PM","Milo, Michael","PH 110","50","55","In-Person",
"01","7323","ACCT 305 (3, 2)","COST ACCOUNTING","M, W","3:05 PM - 4:20 PM","Huang, Qianyun (Ivy)","PH 110","56","55","In-Person",
"03","7329","ACCT 305 (3, 2)","COST ACCOUNTING","T, TH","9:25 AM - 10:40 AM","Milo, Michael","PH 110","42","50","In-Person",
"04","7330","ACCT 305 (3, 2)","COST ACCOUNTING","T, TH","1:40 PM - 2:55 PM","Milo, Michael","PH 110","34","50","In-Person",
"05","7333","ACCT 305 (3, 2)","COST ACCOUNTING","M, W","6:30 PM - 7:45 PM","Mazzo, Mark","PH 116","23","50","In-Person",
"06","7335","ACCT 305 (3, 2)","COST ACCOUNTING","T, TH","8:10 PM - 9:25 PM","Nussbaum, Stephen","PH 130","51","50","In-Person",
"07","7337","ACCT 305 (3, 2)","COST ACCOUNTING","SU","9:15 AM - 12:00 PM","Qureshi, Anique","RZ 174","21","45","Online",
"02","7349","ACCT 306 (4, 3)","TECH IN PLAN &amp; CNTRL","M, W","4:30 PM - 6:20 PM","Stevens, Michael","PH 112","40","45","In-Person",
"01","7339","ACCT 306 (4, 3)","TECH IN PLAN &amp; CNTRL","M, W","2:40 PM - 4:30 PM","Stevens, Michael","PH 012","23","45","In-Person",
